,year,source_id,experiment_id,tas
0,1900.0,CESM2,historical,287.19963968642077
1,1900.0,CESM2,ssp370,
2,1900.0,MPI-ESM1-2-LR,historical,286.58021854102657
3,1900.0,MPI-ESM1-2-LR,ssp370,
4,1900.0,CNRM-ESM2-1,historical,286.63366521647794
5,1900.0,CNRM-ESM2-1,ssp370,
6,1900.0,EC-Earth3-Veg,historical,287.09670419760664
7,1900.0,EC-Earth3-Veg,ssp370,
8,1900.0,FGOALS-g3,historical,287.16689195829446
9,1900.0,FGOALS-g3,ssp370,
10,1900.0,UKESM1-0-LL,historical,286.4887989219996
11,1900.0,UKESM1-0-LL,ssp370,
12,1900.0,CanESM5,historical,286.5142443211965
13,1900.0,CanESM5,ssp370,
14,1900.0,ACCESS-CM2,historical,287.1201308503432
15,1900.0,ACCESS-CM2,ssp370,
16,1900.0,EC-Earth3,historical,287.12087737344416
17,1900.0,EC-Earth3,ssp370,
18,1901.0,CESM2,historical,287.41339729920674
19,1901.0,CESM2,ssp370,
20,1901.0,MPI-ESM1-2-LR,historical,286.6734573624437
21,1901.0,MPI-ESM1-2-LR,ssp370,
22,1901.0,CNRM-ESM2-1,historical,286.8690905901643
23,1901.0,CNRM-ESM2-1,ssp370,
24,1901.0,EC-Earth3-Veg,historical,287.02896580054613
25,1901.0,EC-Earth3-Veg,ssp370,
26,1901.0,FGOALS-g3,historical,287.0825489776576
27,1901.0,FGOALS-g3,ssp370,
28,1901.0,UKESM1-0-LL,historical,286.47838363088874
29,1901.0,UKESM1-0-LL,ssp370,
30,1901.0,CanESM5,historical,286.63970135317174
31,1901.0,CanESM5,ssp370,
32,1901.0,ACCESS-CM2,historical,287.2422271286371
33,1901.0,ACCESS-CM2,ssp370,
34,1901.0,EC-Earth3,historical,287.0156638867689
35,1901.0,EC-Earth3,ssp370,
36,1902.0,CESM2,historical,287.35682059039556
37,1902.0,CESM2,ssp370,
38,1902.0,MPI-ESM1-2-LR,historical,286.82951835154904
39,1902.0,MPI-ESM1-2-LR,ssp370,
40,1902.0,CNRM-ESM2-1,historical,286.6618843304944
41,1902.0,CNRM-ESM2-1,ssp370,
42,1902.0,EC-Earth3-Veg,historical,287.07826351320665
43,1902.0,EC-Earth3-Veg,ssp370,
44,1902.0,FGOALS-g3,historical,287.1855000020512
45,1902.0,FGOALS-g3,ssp370,
46,1902.0,UKESM1-0-LL,historical,286.37659125575505
47,1902.0,UKESM1-0-LL,ssp370,
48,1902.0,CanESM5,historical,286.63173991831076
49,1902.0,CanESM5,ssp370,
50,1902.0,ACCESS-CM2,historical,287.0366363070886
51,1902.0,ACCESS-CM2,ssp370,
52,1902.0,EC-Earth3,historical,286.94639361716725
53,1902.0,EC-Earth3,ssp370,
54,1903.0,CESM2,historical,287.07632722727124
